Entity	Code	Year	Homicide rate per 100,000 population - Both sexes - All ages
Qatar	QAT	1999	0.489155
Qatar	QAT	2000	0.154814
Qatar	QAT	2001	0.73656
Qatar	QAT	2004	0.64272
Qatar	QAT	2005	0.706955
Qatar	QAT	2006	0.492582
Qatar	QAT	2007	0.730583
Qatar	QAT	2008	0.830865
Qatar	QAT	2009	0.49681
Qatar	QAT	2010	0.23344
Qatar	QAT	2011	0.221708
Qatar	QAT	2012	0.367327
Qatar	QAT	2013	0.442152
Qatar	QAT	2014	0.406419
Qatar	QAT	2015	0.248491
Qatar	QAT	2016	0.462398
Qatar	QAT	2017	0.442518
Qatar	QAT	2018	0.361437
Qatar	QAT	2019	0.391845
Qatar	QAT	2020	0.434722
Qatar	QAT	2021	0.334792
Reunion	REU	2004	2.789504
Reunion	REU	2005	2.998839
Reunion	REU	2006	2.247549
Reunion	REU	2007	2.788762
Reunion	REU	2008	2.059547
Reunion	REU	2009	1.698541
Romania	ROU	1990	3.485689
Romania	ROU	1991	3.616069
Romania	ROU	1992	3.679669
Romania	ROU	1993	3.243602
Romania	ROU	1994	3.428656
Romania	ROU	1995	3.363935
Romania	ROU	1996	3.220645
Romania	ROU	1997	3.109083
Romania	ROU	1998	2.531447
Romania	ROU	1999	2.568174
Romania	ROU	2000	2.536511
Romania	ROU	2001	3.206777
Romania	ROU	2002	3.029529
Romania	ROU	2003	3.240024
Romania	ROU	2004	2.287536
Romania	ROU	2005	2.052885
Romania	ROU	2006	1.707366
Romania	ROU	2007	1.827014
Romania	ROU	2008	1.466197
Romania	ROU	2009	1.260608
Romania	ROU	2010	1.308076
Romania	ROU	2011	1.013833
Romania	ROU	2012	1.052782
Romania	ROU	2013	1.086385
Romania	ROU	2014	1.625338
Romania	ROU	2015	1.702997
Romania	ROU	2016	1.545625
Romania	ROU	2017	1.294492
Romania	ROU	2018	1.275069
Romania	ROU	2019	1.24973
Romania	ROU	2020	1.445322
Romania	ROU	2021	1.262381
Russia	RUS	1990	14.28661
Russia	RUS	1991	15.23757
Russia	RUS	1992	22.80172
Russia	RUS	1993	30.26248
Russia	RUS	1994	32.16441
Russia	RUS	1995	30.46431
Russia	RUS	1996	26.36585
Russia	RUS	1997	23.65487
Russia	RUS	1998	22.72119
Russia	RUS	1999	25.94403
Russia	RUS	2000	27.98192
Russia	RUS	2001	29.3506
Russia	RUS	2002	30.39492
Russia	RUS	2003	28.81335
Russia	RUS	2004	27.19433
Russia	RUS	2005	24.78163
Russia	RUS	2006	20.12297
Russia	RUS	2007	17.73156
Russia	RUS	2008	12.71119
Russia	RUS	2009	12.33484
Russia	RUS	2010	11.65156
Russia	RUS	2011	11.28243
Russia	RUS	2012	11.31175
Russia	RUS	2013	11.13736
Russia	RUS	2014	11.44678
Russia	RUS	2015	11.50631
Russia	RUS	2016	10.93246
Russia	RUS	2017	9.139064
Russia	RUS	2018	8.214083
Russia	RUS	2019	7.68617
Russia	RUS	2020	7.345966
Russia	RUS	2021	6.79932
Rwanda	RWA	2006	3.441184
Rwanda	RWA	2007	2.814189
Rwanda	RWA	2008	1.472092
Rwanda	RWA	2010	2.822768
Rwanda	RWA	2012	2.361551
Rwanda	RWA	2013	3.233841
Rwanda	RWA	2014	3.764805
Rwanda	RWA	2015	2.516542
Rwanda	RWA	2016	3.285586
Rwanda	RWA	2017	3.842902
Rwanda	RWA	2018	2.274213
Rwanda	RWA	2019	3.147636
Rwanda	RWA	2020	3.590347
Saint Helena	SHN	1994	0
Saint Helena	SHN	1995	0
Saint Helena	SHN	1996	0
Saint Helena	SHN	1997	0
Saint Helena	SHN	1998	0
Saint Helena	SHN	1999	0
Saint Helena	SHN	2000	0
Saint Helena	SHN	2001	0
Saint Helena	SHN	2002	0
Saint Helena	SHN	2003	0
Saint Helena	SHN	2004	17.73679
Saint Helena	SHN	2005	0
Saint Helena	SHN	2006	0
Saint Helena	SHN	2007	0
Saint Helena	SHN	2008	0
Saint Helena	SHN	2009	0
Saint Kitts and Nevis	KNA	1995	9.400705
Saint Kitts and Nevis	KNA	1996	9.281281
Saint Kitts and Nevis	KNA	1997	16.03464
Saint Kitts and Nevis	KNA	1998	18.08707
Saint Kitts and Nevis	KNA	1999	13.38524
Saint Kitts and Nevis	KNA	2000	6.599063
Saint Kitts and Nevis	KNA	2001	13.04759
Saint Kitts and Nevis	KNA	2002	10.80754
Saint Kitts and Nevis	KNA	2003	21.53757
Saint Kitts and Nevis	KNA	2004	23.61554
Saint Kitts and Nevis	KNA	2005	17.12127
Saint Kitts and Nevis	KNA	2006	36.26744
Saint Kitts and Nevis	KNA	2007	34.03169
Saint Kitts and Nevis	KNA	2008	48.7748
Saint Kitts and Nevis	KNA	2009	57.09875
Saint Kitts and Nevis	KNA	2010	44.301
Saint Kitts and Nevis	KNA	2011	71.45635
Saint Kitts and Nevis	KNA	2012	37.7145
Saint Kitts and Nevis	KNA	2016	62.77792
Saint Kitts and Nevis	KNA	2017	48.13176
Saint Kitts and Nevis	KNA	2018	48.15645
Saint Kitts and Nevis	KNA	2019	25.15117
Saint Kitts and Nevis	KNA	2020	20.98966
Saint Kitts and Nevis	KNA	2021	29.40775
Saint Lucia	LCA	1990	9.838301
Saint Lucia	LCA	1991	6.93152
Saint Lucia	LCA	1992	9.561535
Saint Lucia	LCA	1993	5.383743
Saint Lucia	LCA	1994	6.641804
Saint Lucia	LCA	1995	10.50227
Saint Lucia	LCA	1996	7.793777
Saint Lucia	LCA	1997	8.362602
Saint Lucia	LCA	1998	8.925441
Saint Lucia	LCA	1999	10.11023
Saint Lucia	LCA	2000	14.42006
Saint Lucia	LCA	2001	21.17147
Saint Lucia	LCA	2002	25.95805
Saint Lucia	LCA	2003	22.07959
Saint Lucia	LCA	2004	22.52815
Saint Lucia	LCA	2005	24.79057
Saint Lucia	LCA	2006	25.83056
Saint Lucia	LCA	2007	17.31157
Saint Lucia	LCA	2008	23.13497
Saint Lucia	LCA	2009	22.98343
Saint Lucia	LCA	2010	25.74078
Saint Lucia	LCA	2011	26.72158
Saint Lucia	LCA	2012	22.52721
Saint Lucia	LCA	2013	18.96786
Saint Lucia	LCA	2014	19.45041
Saint Lucia	LCA	2015	15.94324
Saint Lucia	LCA	2016	17.0055
Saint Lucia	LCA	2017	27.65807
Saint Lucia	LCA	2018	20.7996
Saint Lucia	LCA	2019	25.75826
Saint Lucia	LCA	2020	29.01195
Saint Lucia	LCA	2021	38.96433
Saint Martin (French part)	MAF	2011	22.00825
Saint Martin (French part)	MAF	2012	5.551546
Saint Martin (French part)	MAF	2013	22.447
Saint Martin (French part)	MAF	2014	22.68828
Saint Martin (French part)	MAF	2015	17.13307
Saint Martin (French part)	MAF	2016	28.72655
Saint Pierre and Miquelon	SPM	2006	0
Saint Pierre and Miquelon	SPM	2007	0
Saint Pierre and Miquelon	SPM	2008	16.50574
Saint Pierre and Miquelon	SPM	2009	16.51801
Saint Vincent and the Grenadines	VCT	1990	9.778864
Saint Vincent and the Grenadines	VCT	1991	15.96028
Saint Vincent and the Grenadines	VCT	1992	15.89804
Saint Vincent and the Grenadines	VCT	1993	12.32167
Saint Vincent and the Grenadines	VCT	1994	11.40916
Saint Vincent and the Grenadines	VCT	1995	17.51712
Saint Vincent and the Grenadines	VCT	1996	20.99912
Saint Vincent and the Grenadines	VCT	1997	7.875635
Saint Vincent and the Grenadines	VCT	1998	21.0223
Saint Vincent and the Grenadines	VCT	1999	12.28129
Saint Vincent and the Grenadines	VCT	2000	17.57276
Saint Vincent and the Grenadines	VCT	2001	10.55957
Saint Vincent and the Grenadines	VCT	2002	17.62899
Saint Vincent and the Grenadines	VCT	2003	15.91399
Saint Vincent and the Grenadines	VCT	2004	25.75317
Saint Vincent and the Grenadines	VCT	2005	23.20548
Saint Vincent and the Grenadines	VCT	2006	17.94905
Saint Vincent and the Grenadines	VCT	2007	36.09327
Saint Vincent and the Grenadines	VCT	2008	14.50386
Saint Vincent and the Grenadines	VCT	2009	20.93964
Saint Vincent and the Grenadines	VCT	2010	22.87126
Saint Vincent and the Grenadines	VCT	2016	37.7492
Saint Vincent and the Grenadines	VCT	2017	36.94984
Saint Vincent and the Grenadines	VCT	2018	32.29468
Saint Vincent and the Grenadines	VCT	2019	18.10843
Saint Vincent and the Grenadines	VCT	2020	31.53896
Saint Vincent and the Grenadines	VCT	2021	30.67132
Samoa	WSM	2009	8.282602
Samoa	WSM	2010	8.218974
Samoa	WSM	2013	3.000915
Samoa	WSM	2017	3.37139
Samoa	WSM	2018	6.199303
San Marino	SMR	1995	0
San Marino	SMR	1996	0
San Marino	SMR	1997	0
San Marino	SMR	1998	0
San Marino	SMR	1999	0
San Marino	SMR	2000	0
San Marino	SMR	2001	0
San Marino	SMR	2002	3.575387
San Marino	SMR	2003	0
San Marino	SMR	2004	0
San Marino	SMR	2005	0
San Marino	SMR	2006	0
San Marino	SMR	2007	0
San Marino	SMR	2008	0
San Marino	SMR	2009	0
San Marino	SMR	2010	0
San Marino	SMR	2011	0
Sao Tome and Principe	STP	1990	6.647666
Sao Tome and Principe	STP	1991	5.687173
Sao Tome and Principe	STP	1992	9.55049
Sao Tome and Principe	STP	1993	6.241126
Sao Tome and Principe	STP	1994	6.12248
Sao Tome and Principe	STP	2006	2.413644
Sao Tome and Principe	STP	2007	2.355095
Sao Tome and Principe	STP	2008	8.045815
Sao Tome and Principe	STP	2009	2.80697
Sao Tome and Principe	STP	2010	3.294196
Sao Tome and Principe	STP	2011	3.225035
Saudi Arabia	SAU	1999	0.875788
Saudi Arabia	SAU	2000	0.802882
Saudi Arabia	SAU	2001	1.036859
Saudi Arabia	SAU	2002	1.259757
Saudi Arabia	SAU	2003	1.079874
Saudi Arabia	SAU	2004	1.272092
Saudi Arabia	SAU	2005	1.217331
Saudi Arabia	SAU	2006	1.004615
Saudi Arabia	SAU	2007	1.003785
Saudi Arabia	SAU	2018	0.639669
Saudi Arabia	SAU	2019	0.795481
Serbia	SRB	2000	2.873338
Serbia	SRB	2001	3.069037
Serbia	SRB	2002	2.530278
Serbia	SRB	2003	2.231389
Serbia	SRB	2004	2.085613
Serbia	SRB	2005	1.877168
Serbia	SRB	2006	2.001336
Serbia	SRB	2007	2.204127
Serbia	SRB	2008	1.812815
Serbia	SRB	2009	2.003113
Serbia	SRB	2010	1.724645
Serbia	SRB	2011	1.692709
Serbia	SRB	2012	1.449018
Serbia	SRB	2013	1.837002
Serbia	SRB	2014	1.564165
Serbia	SRB	2015	1.329876
Serbia	SRB	2016	1.548052
Serbia	SRB	2017	1.152061
Serbia	SRB	2018	1.412464
Serbia	SRB	2019	1.18902
Serbia	SRB	2020	1.141614
Serbia	SRB	2021	1.055262
Seychelles	SYC	2004	11.80436
Seychelles	SYC	2006	10.33378
Seychelles	SYC	2007	9.057509
Seychelles	SYC	2008	6.693142
Seychelles	SYC	2009	15.37955
Seychelles	SYC	2010	9.739364
Seychelles	SYC	2011	17.05266
Seychelles	SYC	2012	4.196876
Seychelles	SYC	2013	18.61158
Seychelles	SYC	2014	16.32637
Seychelles	SYC	2015	7.053608
Seychelles	SYC	2016	11.93929
Seychelles	SYC	2017	6.875519
Seychelles	SYC	2018	8.729304
Seychelles	SYC	2019	9.581068
Seychelles	SYC	2020	8.52838
Seychelles	SYC	2021	4.696137
Sierra Leone	SLE	2004	2.024098
Sierra Leone	SLE	2005	1.741935
Sierra Leone	SLE	2006	1.73845
Sierra Leone	SLE	2007	2.25621
Sierra Leone	SLE	2008	3.02092
Sierra Leone	SLE	2009	2.524025
Sierra Leone	SLE	2010	2.532354
Sierra Leone	SLE	2011	2.828027
Sierra Leone	SLE	2012	1.664558
Sierra Leone	SLE	2015	1.6952
Sierra Leone	SLE	2020	2.137487
Singapore	SGP	1990	1.555154
Singapore	SGP	1991	1.634291
Singapore	SGP	1992	1.331999
Singapore	SGP	1993	1.739584
Singapore	SGP	1994	1.424993
Singapore	SGP	1995	1.523756
Singapore	SGP	1996	0.903639
Singapore	SGP	1997	1.010464
Singapore	SGP	1998	1.034583
Singapore	SGP	1999	0.983239
Singapore	SGP	2000	1.011446
Singapore	SGP	2001	0.776447
Singapore	SGP	2002	0.742196
Singapore	SGP	2003	0.63884
Singapore	SGP	2004	0.46834
Singapore	SGP	2006	0.378908
Singapore	SGP	2007	0.385996
Singapore	SGP	2008	0.558036
Singapore	SGP	2009	0.399146
Singapore	SGP	2010	0.367961
Singapore	SGP	2011	0.302953
Singapore	SGP	2012	0.204423
Singapore	SGP	2013	0.310329
Singapore	SGP	2014	0.251324
Singapore	SGP	2015	0.247787
Singapore	SGP	2016	0.31513
Singapore	SGP	2017	0.190824
Singapore	SGP	2018	0.154784
Singapore	SGP	2019	0.204555
Singapore	SGP	2020	0.169208
Singapore	SGP	2021	0.100992
Slovakia	SVK	1990	1.767622
Slovakia	SVK	1991	2.424139
Slovakia	SVK	1993	2.574288
Slovakia	SVK	1994	2.416268
Slovakia	SVK	1995	2.392525
Slovakia	SVK	1996	2.463473
Slovakia	SVK	1997	2.609103
Slovakia	SVK	1998	2.383133
Slovakia	SVK	1999	2.623441
Slovakia	SVK	2000	2.399246
Slovakia	SVK	2001	2.194755
Slovakia	SVK	2002	2.251077
Slovakia	SVK	2003	2.549133
Slovakia	SVK	2004	2.009328
Slovakia	SVK	2005	1.729833
Slovakia	SVK	2006	1.524947
Slovakia	SVK	2007	1.524622
Slovakia	SVK	2008	1.598027
Slovakia	SVK	2009	1.447413
Slovakia	SVK	2010	1.64924
Slovakia	SVK	2011	1.776896
Slovakia	SVK	2012	1.386505
Slovakia	SVK	2013	1.440513
Slovakia	SVK	2014	1.328519
Slovakia	SVK	2015	0.884883
Slovakia	SVK	2016	1.104728
Slovakia	SVK	2017	1.470746
Slovakia	SVK	2018	1.230092
Slovakia	SVK	2019	1.393492
Slovakia	SVK	2020	1.154548
Slovakia	SVK	2021	1.009615
Slovenia	SVN	1990	2.064426
Slovenia	SVN	1991	2.010255
Slovenia	SVN	1992	2.410437
Slovenia	SVN	1993	1.305428
Slovenia	SVN	1994	2.058802
Slovenia	SVN	1995	2.209827
Slovenia	SVN	1996	1.908908
Slovenia	SVN	1997	1.809202
Slovenia	SVN	1998	0.704127
Slovenia	SVN	1999	1.258646
Slovenia	SVN	2000	1.814206
Slovenia	SVN	2001	1.412367
Slovenia	SVN	2002	1.814729
Slovenia	SVN	2003	1.055589
Slovenia	SVN	2004	1.352217
Slovenia	SVN	2005	0.997616
Slovenia	SVN	2006	0.595957
Slovenia	SVN	2007	1.186223
Slovenia	SVN	2008	0.491634
Slovenia	SVN	2009	0.635517
Slovenia	SVN	2010	0.729115
Slovenia	SVN	2011	0.774649
Slovenia	SVN	2012	0.67654
Slovenia	SVN	2013	0.579046
Slovenia	SVN	2014	0.771115
Slovenia	SVN	2015	0.96114
Slovenia	SVN	2016	0.478464
Slovenia	SVN	2017	0.905455
Slovenia	SVN	2018	0.427366
Slovenia	SVN	2019	0.662596
Slovenia	SVN	2020	0.519446
Slovenia	SVN	2021	0.424647
Solomon Islands	SLB	2004	4.239219
Solomon Islands	SLB	2005	5.388757
Solomon Islands	SLB	2006	4.661254
Solomon Islands	SLB	2007	5.152402
Solomon Islands	SLB	2008	3.682164
South Africa	ZAF	1994	60.00973
South Africa	ZAF	1995	61.10342
South Africa	ZAF	1996	57.02885
South Africa	ZAF	1997	54.07083
South Africa	ZAF	1998	54.80003
South Africa	ZAF	1999	48.75263
South Africa	ZAF	2000	46.47828
South Africa	ZAF	2001	45.32105
South Africa	ZAF	2002	45.22097
South Africa	ZAF	2003	41.21067
South Africa	ZAF	2004	38.70371
South Africa	ZAF	2005	37.79902
South Africa	ZAF	2006	38.60441
South Africa	ZAF	2007	36.80288
South Africa	ZAF	2008	35.76329
South Africa	ZAF	2009	32.76675
South Africa	ZAF	2010	30.6904
South Africa	ZAF	2011	29.65868
South Africa	ZAF	2012	30.50708
South Africa	ZAF	2013	31.59803
South Africa	ZAF	2014	32.5327
South Africa	ZAF	2015	33.41834
South Africa	ZAF	2016	33.703
South Africa	ZAF	2017	35.90319
South Africa	ZAF	2018	36.66225
South Africa	ZAF	2019	36.71214
South Africa	ZAF	2020	33.96487
South Africa	ZAF	2021	41.86573
South Korea	KOR	1990	0.471515
South Korea	KOR	1991	0.486779
South Korea	KOR	1992	0.536419
South Korea	KOR	1993	0.681976
South Korea	KOR	1994	0.494906
South Korea	KOR	1995	0.502666
South Korea	KOR	1996	0.539606
South Korea	KOR	1997	0.603486
South Korea	KOR	1998	0.816671
South Korea	KOR	1999	0.826917
South Korea	KOR	2000	0.790715
South Korea	KOR	2001	0.865094
South Korea	KOR	2002	0.783462
South Korea	KOR	2003	0.813262
South Korea	KOR	2004	0.879872
South Korea	KOR	2005	0.858284
South Korea	KOR	2006	0.865105
South Korea	KOR	2007	0.892562
South Korea	KOR	2008	0.887678
South Korea	KOR	2009	1.095505
South Korea	KOR	2010	0.992838
South Korea	KOR	2011	0.819608
South Korea	KOR	2012	0.876412
South Korea	KOR	2013	0.70262
South Korea	KOR	2014	0.745678
South Korea	KOR	2015	0.735375
South Korea	KOR	2016	0.693822
South Korea	KOR	2017	0.584334
South Korea	KOR	2018	0.597946
South Korea	KOR	2019	0.573317
South Korea	KOR	2020	0.594082
South Korea	KOR	2021	0.520932
South Sudan	SSD	2012	14.05397
Spain	ESP	1990	1.244431
Spain	ESP	1991	1.127008
Spain	ESP	1992	1.124349
Spain	ESP	1993	1.201902
Spain	ESP	1994	1.082685
Spain	ESP	1995	1.032285
Spain	ESP	1996	0.992588
Spain	ESP	1997	1.152313
Spain	ESP	1998	1.293284
Spain	ESP	1999	1.19875
Spain	ESP	2000	1.357333
Spain	ESP	2001	1.40847
Spain	ESP	2002	1.359768
Spain	ESP	2003	1.389998
Spain	ESP	2004	1.210438
Spain	ESP	2005	1.185752
Spain	ESP	2006	1.071521
Spain	ESP	2007	1.065293
Spain	ESP	2008	0.885427
Spain	ESP	2009	0.888548
Spain	ESP	2010	0.861018
Spain	ESP	2011	0.823895
Spain	ESP	2012	0.778508
Spain	ESP	2013	0.648021
Spain	ESP	2014	0.695154
Spain	ESP	2015	0.650423
Spain	ESP	2016	0.632621
Spain	ESP	2017	0.659022
Spain	ESP	2018	0.617626
Spain	ESP	2019	0.702292
Spain	ESP	2020	0.629172
Spain	ESP	2021	0.610694
Sri Lanka	LKA	1990	11.53795
Sri Lanka	LKA	1995	8.879073
Sri Lanka	LKA	1996	9.687539
Sri Lanka	LKA	1997	10.033
Sri Lanka	LKA	1999	10.2783
Sri Lanka	LKA	2005	6.196037
Sri Lanka	LKA	2006	10.2865
Sri Lanka	LKA	2008	9.869049
Sri Lanka	LKA	2009	5.365562
Sri Lanka	LKA	2010	3.691598
Sri Lanka	LKA	2011	3.509152
Sri Lanka	LKA	2012	3.216421
Sri Lanka	LKA	2013	2.929241
Sri Lanka	LKA	2014	2.603645
Sri Lanka	LKA	2015	2.282453
Sri Lanka	LKA	2016	2.473689
Sri Lanka	LKA	2017	2.259749
Sri Lanka	LKA	2018	2.381757
Sri Lanka	LKA	2019	3.427305
Suriname	SUR	2000	14.19629
Suriname	SUR	2001	16.20867
Suriname	SUR	2002	11.49968
Suriname	SUR	2003	11.90996
Suriname	SUR	2004	9.009503
Suriname	SUR	2005	13.36641
Suriname	SUR	2006	11.87688
Suriname	SUR	2007	8.523599
Suriname	SUR	2008	8.05337
Suriname	SUR	2013	5.142327
Suriname	SUR	2014	5.617169
Suriname	SUR	2015	5.908163
Suriname	SUR	2016	7.051301
Suriname	SUR	2017	6.127039
Suriname	SUR	2018	6.400383
Suriname	SUR	2019	4.997497
Suriname	SUR	2020	9.059985
Suriname	SUR	2021	5.709769
Sweden	SWE	1990	1.111318
Sweden	SWE	1991	1.338116
Sweden	SWE	1992	1.319403
Sweden	SWE	1993	1.243752
Sweden	SWE	1994	1.146334
Sweden	SWE	1995	0.993321
Sweden	SWE	1996	1.126858
Sweden	SWE	1997	0.987753
Sweden	SWE	1998	1.042064
Sweden	SWE	1999	1.141388
Sweden	SWE	2000	1.082173
Sweden	SWE	2001	0.977885
Sweden	SWE	2002	1.131524
Sweden	SWE	2003	0.948501
Sweden	SWE	2004	1.188326
Sweden	SWE	2005	0.916951
Sweden	SWE	2006	0.999482
Sweden	SWE	2007	1.211225
Sweden	SWE	2008	0.888478
Sweden	SWE	2009	0.999848
Sweden	SWE	2010	0.96997
Sweden	SWE	2011	0.855569
Sweden	SWE	2012	0.711596
Sweden	SWE	2013	0.901654
Sweden	SWE	2014	0.892536
Sweden	SWE	2015	1.137131
Sweden	SWE	2016	1.064972
Sweden	SWE	2017	1.123463
Sweden	SWE	2018	1.062752
Sweden	SWE	2019	1.081037
Sweden	SWE	2020	1.195876
Sweden	SWE	2021	1.079573
Switzerland	CHE	1990	1.638931
Switzerland	CHE	1991	1.442154
Switzerland	CHE	1992	1.353086
Switzerland	CHE	1993	1.513814
Switzerland	CHE	1994	1.144241
Switzerland	CHE	1995	1.165055
Switzerland	CHE	1996	1.174026
Switzerland	CHE	1997	1.2276
Switzerland	CHE	1998	1.069185
Switzerland	CHE	1999	1.246115
Switzerland	CHE	2000	0.960727
Switzerland	CHE	2001	1.19041
Switzerland	CHE	2002	1.18189
Switzerland	CHE	2009	0.659391
Switzerland	CHE	2010	0.664755
Switzerland	CHE	2011	0.58147
Switzerland	CHE	2012	0.5628
Switzerland	CHE	2013	0.704716
Switzerland	CHE	2014	0.500746
Switzerland	CHE	2015	0.688262
Switzerland	CHE	2016	0.537448
Switzerland	CHE	2017	0.532438
Switzerland	CHE	2018	0.587238
Switzerland	CHE	2019	0.536406
Switzerland	CHE	2020	0.544069
Switzerland	CHE	2021	0.483236
Syria	SYR	1997	1.959746
Syria	SYR	1998	2.167666
Syria	SYR	1999	2.075315
Syria	SYR	2000	2.189156
Syria	SYR	2001	2.247735
Syria	SYR	2002	2.14402
Syria	SYR	2003	2.299653
Syria	SYR	2004	2.355673
Syria	SYR	2005	2.313874
Syria	SYR	2006	2.295182
Syria	SYR	2007	2.574505
Syria	SYR	2008	2.463437
Syria	SYR	2009	2.180763
Syria	SYR	2010	2.072742
Tajikistan	TJK	1990	3.100855
Tajikistan	TJK	1991	2.663641
Tajikistan	TJK	1992	10.69621
Tajikistan	TJK	1993	22.80595
Tajikistan	TJK	1994	10.95797
Tajikistan	TJK	1995	7.352726
Tajikistan	TJK	1996	8.019088
Tajikistan	TJK	1997	8.141154
Tajikistan	TJK	1998	7.974916
Tajikistan	TJK	1999	5.767773
Tajikistan	TJK	2000	4.511399
Tajikistan	TJK	2001	3.63562
Tajikistan	TJK	2002	2.751555
Tajikistan	TJK	2003	2.457853
Tajikistan	TJK	2004	2.087866
Tajikistan	TJK	2005	2.265792
Tajikistan	TJK	2006	2.748881
Tajikistan	TJK	2007	1.836294
Tajikistan	TJK	2008	1.365257
Tajikistan	TJK	2009	1.298772
Tajikistan	TJK	2010	2.374774
Tajikistan	TJK	2011	1.618535
Tajikistan	TJK	2020	0.911643
Tanzania	TZA	1995	6.904434
Tanzania	TZA	1996	7.331234
Tanzania	TZA	1997	7.408958
Tanzania	TZA	2003	7.440955
Tanzania	TZA	2004	7.627563
Tanzania	TZA	2010	8.618831
Tanzania	TZA	2011	8.938722
Tanzania	TZA	2012	8.563153
Tanzania	TZA	2013	7.506044
Tanzania	TZA	2015	7.129423
Tanzania	TZA	2016	6.321482
Tanzania	TZA	2017	5.592973
Tanzania	TZA	2018	4.706454
Tanzania	TZA	2019	4.541311
Tanzania	TZA	2020	3.704753
Thailand	THA	1990	9.67618
Thailand	THA	1991	9.956704
Thailand	THA	1992	10.46495
Thailand	THA	1993	9.488765
Thailand	THA	1994	8.54092
Thailand	THA	1995	7.643269
Thailand	THA	1996	7.430524
Thailand	THA	1997	7.848942
Thailand	THA	1998	8.682454
Thailand	THA	1999	8.090624
Thailand	THA	2000	8.153285
Thailand	THA	2001	7.886895
Thailand	THA	2002	7.066051
Thailand	THA	2003	9.932545
Thailand	THA	2004	6.542526
Thailand	THA	2005	7.301581
Thailand	THA	2006	7.0673
Thailand	THA	2007	6.636564
Thailand	THA	2008	5.902427
Thailand	THA	2009	5.460552
Thailand	THA	2010	5.352239
Thailand	THA	2011	4.812783
Tonga	TON	1995	2.00047
Tonga	TON	1996	1.996108
Tonga	TON	1997	1.986926
Tonga	TON	2000	0.974635
Tonga	TON	2001	5.813418
Tonga	TON	2002	5.780124
Tonga	TON	2003	5.746549
Tonga	TON	2004	1.904109
Tonga	TON	2005	3.786678
Tonga	TON	2006	7.533666
Tonga	TON	2007	0.937756
Tonga	TON	2008	3.740695
Tonga	TON	2009	7.466587
Tonga	TON	2010	0.931242
Tonga	TON	2011	1.858555
Tonga	TON	2012	0.930215
Tonga	TON	2018	9.510179
Tonga	TON	2019	0.95283
Trinidad and Tobago	TTO	2000	9.00764
Trinidad and Tobago	TTO	2001	11.28072
Trinidad and Tobago	TTO	2002	12.70465
Trinidad and Tobago	TTO	2003	16.9185
Trinidad and Tobago	TTO	2004	19.10118
Trinidad and Tobago	TTO	2005	28.19421
Trinidad and Tobago	TTO	2006	26.9442
Trinidad and Tobago	TTO	2007	28.23389
Trinidad and Tobago	TTO	2008	39.27334
Trinidad and Tobago	TTO	2009	36.1835
Trinidad and Tobago	TTO	2010	33.53906
Trinidad and Tobago	TTO	2011	24.78838
Trinidad and Tobago	TTO	2012	26.56643
Trinidad and Tobago	TTO	2013	28.24958
Trinidad and Tobago	TTO	2014	27.91831
Trinidad and Tobago	TTO	2015	28.76365
Trinidad and Tobago	TTO	2016	31.51097
Trinidad and Tobago	TTO	2017	33.47746
Trinidad and Tobago	TTO	2018	34.3588
Trinidad and Tobago	TTO	2019	35.46158
Trinidad and Tobago	TTO	2020	26.28204
Trinidad and Tobago	TTO	2021	29.36428
Tunisia	TUN	2004	1.894634
Tunisia	TUN	2005	2.502805
Tunisia	TUN	2006	2.375148
Tunisia	TUN	2007	2.580244
Tunisia	TUN	2008	2.62163
Tunisia	TUN	2009	2.364504
Tunisia	TUN	2010	2.625042
Tunisia	TUN	2012	2.971081
Tunisia	TUN	2019	4.738859
Tunisia	TUN	2020	4.621056
Turkey	TUR	2003	4.24273
Turkey	TUR	2004	4.298882
Turkey	TUR	2005	4.810442
Turkey	TUR	2006	4.551637
Turkey	TUR	2007	5.10722
Turkey	TUR	2008	4.566695
Turkey	TUR	2010	4.186059
Turkey	TUR	2011	4.126791
Turkey	TUR	2012	4.272196
Turkey	TUR	2015	2.806161
Turkey	TUR	2016	3.337472
Turkey	TUR	2017	3.09539
Turkey	TUR	2018	2.60961
Turkey	TUR	2019	2.419693
Turkey	TUR	2020	2.505484
Turkey	TUR	2021	2.519599
Turkmenistan	TKM	1990	8.924063
Turkmenistan	TKM	1991	8.006737
Turkmenistan	TKM	1992	7.538771
Turkmenistan	TKM	1993	8.234743
Turkmenistan	TKM	1994	7.452148
Turkmenistan	TKM	1995	6.364419
Turkmenistan	TKM	1996	7.765468
Turkmenistan	TKM	1997	8.204099
Turkmenistan	TKM	1998	7.785143
Turkmenistan	TKM	1999	7.131622
Turkmenistan	TKM	2000	5.843561
Turkmenistan	TKM	2001	5.350485
Turkmenistan	TKM	2002	5.128785
Turkmenistan	TKM	2003	4.895999
Turkmenistan	TKM	2004	4.336287
Turkmenistan	TKM	2005	4.216322
Turkmenistan	TKM	2006	4.097675
Turkmenistan	TKM	2010	1.993178
Turkmenistan	TKM	2011	1.865389
Turkmenistan	TKM	2012	1.447236
Turkmenistan	TKM	2013	1.510766
Turkmenistan	TKM	2014	1.571563
Turkmenistan	TKM	2015	1.09253
Turks and Caicos Islands	TCA	1990	0
Turks and Caicos Islands	TCA	1991	0
Turks and Caicos Islands	TCA	1992	7.684032
